period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,8783721849.0,4140989609.0,4642732240.0,3471130388.0,5762232926.0,2894130076.0,
2024-12-31,5848616103.0,3545090083.0,2303526020.0,1696416416.0,3332737707.0,2880766122.0,
2023-12-31,3887527427.0,2133257758.0,1754269669.0,567559977.0,2025480144.0,1847510888.0,
2022-12-31,3771380478.0,2608315857.0,1163064621.0,824021604.0,1721494081.0,2153369414.0,
2021-12-31,,,,,,,
