period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,1442494120000.0,1210979902000.0,231514218000.0,224113001000.0,,,
2024-12-31,1214973261000.0,1062153940000.0,152819321000.0,407360854000.0,,,
2023-12-31,834866099000.0,744224633000.0,90641466000.0,302973065000.0,,,
2022-12-31,635831917000.0,567493749000.0,68338168000.0,181349269000.0,,,
2021-12-31,,,,,,,
