period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,50687540810.0,42283212637.0,8404328173.0,4095255131.0,44428185936.0,37711902819.0,
2024-12-31,39112323637.0,34360357573.0,4751966064.0,3936282593.0,33927432700.0,30689755861.0,
2023-12-31,27148953582.0,24225553381.0,2923400201.0,3164866397.0,22993687263.0,21840689586.0,
2022-12-31,20770171955.0,18512849390.0,2257322565.0,1312603769.0,16764935200.0,15823147193.0,
