period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,21342162558.0,13270571613.0,8071590945.0,5940887233.0,16453981631.0,12209250291.0,
2024-12-31,13256776370.0,8093780118.0,5162996252.0,4267441022.0,9875765978.0,7486990041.0,
2023-12-31,8971583645.0,5501735013.0,3469848632.0,2758635418.0,6996037684.0,5211195383.0,
2022-12-31,6423757906.0,3828512972.0,2595244934.0,2212689088.0,5001306228.0,3684180378.0,
2021-12-31,,,,,,,
