period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,225882527000.0,162194701000.0,63687826000.0,8312470000.0,46764010000.0,92146701000.0,
2024-12-31,197952788000.0,152014797000.0,45937991000.0,8279240000.0,42948929000.0,89485416000.0,
2023-12-31,150257064000.0,99372132000.0,50884932000.0,10977982000.0,34359721000.0,63494258000.0,
2022-12-31,119239737000.0,72971887000.0,46267850000.0,6811305000.0,26220720000.0,43695081000.0,
2021-12-31,,,,,,,
