period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2024-12-31,123437324201.0,108812642076.0,14624682125.0,6372384745.0,69270914793.0,74496941230.0,
2023-12-31,74298460597.0,62576612698.0,11721847899.0,3189241596.0,42474426786.0,41069114014.0,
2022-12-31,49505997212.0,39334410484.0,10171586728.0,1165167798.0,26017630209.0,27266541709.0,
2021-12-31,40900057745.0,31308434484.0,9591623261.0,1017868885.0,22364307586.0,23200391365.0,
