period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2024-12-31,228452486000.0,161453104000.0,66999382000.0,2698056000.0,42484446000.0,70240086000.0,
2023-12-31,160623188000.0,120678830000.0,39944358000.0,1975005000.0,38885215000.0,106482060000.0,
2022-12-31,144882667000.0,122511871000.0,22370796000.0,9246719000.0,38549593000.0,106636641000.0,
2021-12-31,84268448000.0,86642730000.0,-2374282000.0,6220818000.0,16637096000.0,72540461000.0,
