period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,311099090775.0,239109245844.0,71989844931.0,41949208624.0,261575886488.0,221389680302.0,
2024-12-31,249527138687.0,190000453431.0,59526685256.0,38180002322.0,209103253748.0,176312810197.0,
2023-12-31,151448654828.0,113340175300.0,38108479528.0,25552044800.0,123824728283.0,103106431804.0,
2022-12-31,114024027895.0,86378724269.0,27645303626.0,19715749761.0,92577582325.0,78374645149.0,
2021-12-31,,,,,,,
