period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2024-12-31,58002649740.0,12624286542.0,45378363198.0,6679913892.0,16518119103.0,4160591794.0,
2023-12-31,54189397735.0,10936670494.0,43252727241.0,7814757372.0,15181857927.0,3648889930.0,
2022-12-31,35984864752.0,6340791320.0,29644073432.0,4384347061.0,9212756345.0,5159194260.0,
2021-12-31,26740744510.0,26740744510.0,19908658238.0,4392926749.0,5522727527.0,3799468009.0,
