period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,18410221901.0,10377677682.0,8032544219.0,1091755742.0,9545838657.0,8169490543.0,
2024-12-31,13590462624.0,7251138154.0,6339324470.0,1811244599.0,7537057211.0,6199408901.0,
2023-12-31,8580367133.0,4330598548.0,4249768585.0,1093526328.0,4745796103.0,3858564779.0,
2022-12-31,6243794933.0,2833062761.0,3410732172.0,294504052.0,2685428188.0,2368770767.0,
2021-12-31,,,,,,,
