period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,11903520928.0,3120656152.0,8782864776.0,1382001641.0,6928654297.0,2051319965.0,
2024-12-31,9058028544.0,2221302978.0,6836725566.0,1205753600.0,5735476851.0,1564106918.0,
2023-12-31,7635049207.0,2034987845.0,5600061362.0,1505212691.0,5123260007.0,1394789350.0,
2022-12-31,5934787305.0,1303971789.0,4630815516.0,877780131.0,4976811951.0,1037438129.0,
2021-12-31,,,,,,,
