period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits
2025-12-31,5337527567.0,3127627247.0,2209900320.0,36178688.0,3434581427.0,2983594896.0,
2024-12-31,4311315751.0,2239671381.0,2071644370.0,64688059.0,3137015135.0,2155199064.0,
2023-12-31,3218272019.0,1442772759.0,1775499260.0,52358275.0,2022951426.0,1372838773.0,
2022-12-31,2773031357.0,1249854664.0,1523176693.0,66956028.0,1758482854.0,1181955163.0,
2021-12-31,,,,,,,
