period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2024-12-31,19650320858.0,15119739368.0,8847435930.0,7273346045.0,1574089885.0,5.270198,1696303681.0,52409291.0
2023-12-31,5959553344.0,5974356398.0,3224230790.0,2964708239.0,259522551.0,2.080532,664358397.0,31046190.0
2022-12-31,6992193630.0,3834518011.0,4244563625.0,3954035215.0,290528410.0,1.33386,138029093.0,1529430.0
2021-12-31,10257610707.0,4790435251.0,,5256882961.0,,13.84605,192600611.0,257593799.0
