period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2024-12-31,148874356000.0,6391184000.0,13179472000.0,9305363000.0,3874109000.0,3.51533,942935000.0,10408293000.0
2023-12-31,97131327000.0,6523120000.0,17554039000.0,13023078000.0,4530961000.0,3.584,525112000.0,8687610000.0
2022-12-31,82718112000.0,1256287000.0,26502314000.0,23698540000.0,2803774000.0,0.69,94068000.0,5500918000.0
2021-12-31,45819563000.0,-2278374000.0,2146296000.0,-1768819000.0,3915115000.0,-3.135,542610000.0,4390986000.0
