period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,23224266000.0,12588572000.0,,,4549232000.0,,-7000.0,
2024-12-31,17955548000.0,9008926000.0,,,3603279000.0,14.02,-169000.0,
2023-12-31,10666106000.0,4670654000.0,,,2668666000.0,3.775253,,
2022-12-31,6614236000.0,2196374000.0,,,2555668000.0,2.696091,,
2021-12-31,,,,,,2.21348,,
