period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-06-30,37381841000.0,9710655000.0,12034983000.0,10973762000.0,1061221000.0,2.89,341400000.0,937611000.0
2024-06-30,20446562000.0,9181481000.0,9212658000.0,7926984000.0,1285674000.0,3.43,204191000.0,60078000.0
2023-06-30,17820067000.0,7656987000.0,8535225000.0,7337567000.0,1197658000.0,2.98,103724000.0,15886000.0
2022-06-30,17139443000.0,4029941000.0,7880256000.0,3804423000.0,4075833000.0,1.196767,107531000.0,38675000.0
2021-06-30,,,,,,,,
