period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,8651478402.0,2889189159.0,5959842173.0,3391155659.0,2568686514.0,,1043090728.0,78589472.0
2024-12-31,5510620184.0,1606651692.0,3622303271.0,1704834659.0,1917468612.0,0.41,691243802.0,37208276.0
2023-12-31,3272016083.0,715338691.0,2061822457.0,651777826.0,1410044631.0,0.18,464413386.0,26762305.0
2022-12-31,2279335174.0,240054320.0,1361228281.0,281264048.0,1079964233.0,0.08,211071914.0,30579161.0
2021-12-31,,,,,,0.064875,,
