period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,24945058673.0,5549671395.0,7891843392.0,7068229179.0,823614213.0,,1240607476.0,1834361308.0
2024-12-31,21794789240.0,3108487743.0,7789523467.0,6731940736.0,1057582731.0,2.75,1151089427.0,1676197130.0
2023-12-31,15326209169.0,2828722063.0,4838595053.0,4493254828.0,345340225.0,2.53,570629647.0,1123010516.0
2022-12-31,10269359318.0,1672048919.0,3121290254.0,2871196656.0,250093598.0,1.5,,388194399.0
2021-12-31,,,,,,1.09,,
