period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,12447320081.0,3599585937.0,5058265665.0,4649163070.0,409102595.0,,226274781.0,49841733.0
2024-12-31,8729782821.0,1160129411.0,2086810334.0,1764065732.0,322744602.0,3.02,56458493.0,91188916.0
2023-12-31,6042831338.0,697488741.0,1283016126.0,1079109902.0,203906224.0,1.81,30813502.0,76979253.0
2022-12-31,4675002824.0,358986481.0,885186613.0,657568745.0,227617868.0,0.93,9967780.0,58081220.0
2021-12-31,,,,,,0.07,,
