period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,106672946000.0,22554632000.0,44839110000.0,28960159000.0,15878951000.0,11.93,816220000.0,12826709000.0
2024-12-31,81677812000.0,10098140000.0,30492762000.0,17546469000.0,12946293000.0,4.79,712711000.0,10881711000.0
2023-12-31,56679153000.0,11713179000.0,22389172000.0,11941971000.0,10447201000.0,5.85,793030000.0,4354306000.0
2022-12-31,44273344000.0,9182184000.0,17787974000.0,9266170000.0,8521804000.0,4.61,337840000.0,1286351000.0
2021-12-31,,,,,,,,
