period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,63829420695.0,2588357394.0,13690672654.0,6242166549.0,7448506105.0,,,2369169940.0
2024-12-31,45119062433.0,1688543816.0,9419471815.0,3705659263.0,5713812552.0,0.394654,,1690213646.0
2023-12-31,31295348778.0,441356745.0,6378324883.0,2186935778.0,4191389105.0,0.102929,,1137512475.0
2022-12-31,20413178508.0,347313087.0,4072610699.0,1216129332.0,2856481367.0,0.08,,651081349.0
2021-12-31,,,,,,0.113651,,
