period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense
2025-12-31,26622797999.0,2189343558.0,3350262617.0,1921033910.0,1429228707.0,,253316404.0,535526807.0
2024-12-31,24288877875.0,2192283305.0,3103175922.0,2048816460.0,1054359462.0,2.72,216179494.0,552552323.0
2023-12-31,17658543016.0,1740203598.0,2549704058.0,1661208134.0,888495924.0,1.59,101662197.0,459366283.0
2022-12-31,13255653997.0,842885161.0,1256078907.0,479935052.0,776143855.0,2.06,47965991.0,304052060.0
2021-12-31,,,,,,1.19,,
