period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,-0.0497,0.9596,-0.027,-36.49,0.2293,-3.135,,9298221056.0,,
2022-12-31,0.0152,0.0562,0.0087,5.48,0.3615,0.69,,,,
2023-12-31,0.0672,0.1633,0.0406,3.02,0.3652,3.584,,,,
2024-12-31,0.0429,0.0954,0.028,2.41,0.6048,3.51533,,,,
