period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,1.287358,4.08871,25350000640.0,,
2022-12-31,0.4743,0.2439,0.0321,6.6,,1.934203,,,,
2023-12-31,0.5395,0.3562,0.0487,6.32,,4.133097,,,,
2024-12-31,0.5773,0.3744,0.0633,4.92,,5.72,,,,
2025-12-31,0.5285,0.2945,0.0477,5.17,,,,,,
