period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,1.49,6.688639,102025871360.0,,
2022-12-31,0.0588,0.196,0.0475,3.12,1.1812,2.3,,,,
2023-12-31,0.0665,0.2654,0.0668,2.97,1.2009,4.26,,,,
2024-12-31,0.0753,0.2933,0.07,3.19,1.186,7.22,,,,
2025-12-31,0.0617,0.2407,0.0557,3.32,1.1815,,,,,
