period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,0.170667,38.10606,87186669568.0,,
2022-12-31,0.3041,0.1736,0.1355,0.28,4.7972,0.213333,,,,
2023-12-31,0.3226,0.2246,0.1647,0.36,3.6731,0.326667,,,,
2024-12-31,0.3409,0.2598,0.1961,0.32,3.6669,0.41,,,,
2025-12-31,0.3551,0.2739,0.2021,0.36,3.3777,,,,,
