period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,,5.1937137,7832832000.0,,
2022-12-31,0.0272,0.1642,0.0321,4.11,1.0106,0.97,,,,
2023-12-31,0.0471,0.2229,0.0433,4.15,1.0196,1.4,,,,
2024-12-31,0.0363,0.1822,0.0297,5.13,1.0043,1.07,,,,
2025-12-31,0.0386,0.2163,0.0373,4.79,1.0364,1.77,,,,
