period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-06-30,,,,,,,7.29097,65399996416.0,,
2022-06-30,0.2351,0.3241,0.1507,1.15,1.2346,1.196767,,,,
2023-06-30,0.4297,0.4751,0.2911,0.63,1.8954,2.98,,,,
2024-06-30,0.449,0.5678,0.2794,1.03,1.6056,3.43,,,,
2025-06-30,0.2598,0.5813,0.2227,1.61,1.4014,2.89,,,,
