period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,0.56,13.55797,22017110016.0,,
2022-12-31,0.0561,0.187,0.1021,0.83,1.1337,0.504,,,,
2023-12-31,0.0657,0.2402,0.119,1.02,1.2299,0.98,,,,
2024-12-31,0.1126,0.4315,0.2013,1.14,1.2158,2.32,,,,
2025-12-31,0.0637,0.2377,0.1037,1.29,1.1685,,,,,
