period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2022-12-31,0.3017,0.7694,0.1243,5.19,2.2977,0.15,4.327731,41254133760.0,,
2023-12-31,0.4999,0.8912,0.4938,0.8,3.0122,1.95,,,,
