period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,0.07,1.1064278,3936108288.0,,
2022-12-31,0.0768,0.3087,0.0952,2.24,0.7994,0.93,,,,
2023-12-31,0.1154,0.3976,0.1794,1.22,1.0963,1.81,,,,
2024-12-31,0.1329,0.5036,0.1984,1.54,1.1569,3.02,,,,
2025-12-31,0.2892,0.7753,0.4098,0.89,1.991,,,,,
