period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,0.26,3.9605265,3034080000.0,,
2022-12-31,0.0078,0.137,0.0134,9.21,1.004,0.13,,,,
2023-12-31,0.0063,0.1474,0.0115,11.8,1.0008,0.17,,,,
2024-12-31,0.011,0.3026,0.0215,13.1,1.0019,0.49,,,,
2025-12-31,0.0124,0.3419,0.0263,12.01,1.025,,,,,
