period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,,4.498615,267901370368.0,,
2022-12-31,0.4424,0.2358,0.0253,8.3,,4.390909,,,,
2023-12-31,0.494,0.3269,0.0355,8.21,,8.036364,,,,
2024-12-31,0.5304,0.3612,0.0454,6.95,,14.854545,,,,
2025-12-31,0.6816,0.3552,0.057,5.23,,18.25,,,,
