period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,0.467,0.2406,0.1791,1.34,1.4536,13.84605,11.088607,125624541184.0,,
2022-12-31,0.5484,0.1294,0.1066,0.21,1.7857,1.33386,,,,
2023-12-31,1.0025,0.1381,0.1102,0.25,4.1607,2.080532,,,,
2024-12-31,0.7694,0.3332,0.2607,0.28,3.9701,5.270198,,,,
