period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,1.09,2.7678208,15363134464.0,,
2022-12-31,0.1628,0.2454,0.0591,3.15,2.1242,1.5,,,,
2023-12-31,0.1846,0.2838,0.0721,2.94,1.8285,2.53,,,,
2024-12-31,0.1426,0.2366,0.0613,2.86,1.5424,2.75,,,,
2025-12-31,0.2225,0.3146,0.094,2.35,1.5491,,,,,
