period_end_date,net_margin,roe,roa,debt_to_equity,current_ratio,eps,pe_ratio,market_cap,dividend_yield,car_ratio
2021-12-31,,,,,,0.113651,3.4098358,8899357696.0,,
2022-12-31,0.017,0.1539,0.0167,8.2,1.0595,0.08,,,,
2023-12-31,0.0141,0.151,0.0163,8.29,1.0528,0.102929,,,,
2024-12-31,0.0374,0.3553,0.0432,7.23,1.1055,0.394654,,,,
2025-12-31,0.0406,0.308,0.0511,5.03,1.1781,,,,,
